Word,Meaning
a,I
á,she
á,her
áa,exclamation
aba,forked
aba,hammerheaded
ábá,charm
abaji,sea
abaji,ocean
abalama,dance-group
abana,shoulder
ábára,wedge
abonía,bait worm
ábōnta,praying mantis
aḅaḅa,piggyback
áḅághá,cordage
áḅásịlárị,eel fish
aḅẹ,red mud
aḅẹẹ́,heron
abẹ́ẹ,clay mud
áḅị́ḅọ́,heir
áḅị́ḅọ́,inheritor
ada,owuogbo dance
áda,grandfather
áda,aged man
ádẹ́,cricket
adụḿ,ritual salt water
áfái,wicked
áfaláfa,jellyfish
áfárị́,sardine
áfị́náa,farina
áfọ́nọ,cowife
áfọ́nọ,mate
áfọ́nọnyé,resentment
ágā,canerope
agalá,draw
ágalága,awning
agara,bad result
ágárárá,leaves
agba,sacrifice
agbamienyé,offering
ágbā,pay a visit
ágbā,river bank
ágbā,paint
agbagha,shoe
agbagha,boot
agbará,red snapper
ágbárá,side
ágbọ,shield
ágbọ̄,exclamation
agbụgba,ribs
agbụgba,bamboo
agbụgba,disease
agịdị,cutlass
agịdị,matchet
ágị́rịrị́-kéngé,small sea crab
ájákárị́,not fine
ájákárị́,bad
ájákárị́,uglylooking
ájárị́,rust
ajijimáaji,whale
aka,diplomacy
aka,art
aka,thatch
áká,tooth
ákáị,exclamation of pain
akakọḅọ́,craftsman
akalụ́,moon
akalụ́,month
akalụ́-ḿbuló-ḿbuló,agama lizard
akama,bee
akamapulo,honey
akanị,carpentry
akanị,handicraft
akanịḅọ́,carpenter
akanyá,understanding
ákió,white man
ákió,fair-skinned
ákị́,take
ákị́,receive
álápụ́-ágị́dị,sword
álī,slender
álịláa,cichlid perch
íliláa,cichlid perch
alọ,white cloth
ama,male
amaḅárā,right-hand
amakugháa,not engaged
amakúu,engagement
ama-ọlọ,engagement
amaọlọgháa,not engaged
ámá,town
ámá,country
ámáḅẹ́rẹ́,national affairs
ámáḅẹ́rẹ́dūghóḅọ́,councillor
ámáḅọ́ọ,indigene
ámáḅọ́ọ,citizen
ámádá,reign
ámádáḅọ́,president
ámádáḅọ́,district head
ámádákíri,kingdom
ámádású,crown
ámádíghítórụ́sī,amnesty
ámáẹ́gẹ́rẹ,language
ámáfọ́nyá,patriotism
ámáfọ́nyáḅọ́,patriot
ámágbọ́rụ́nyée,commonwealth
ámá-írókọḅọ,traitor
ámákórómáḅọ́,founder
ámákúrúḅọ́,policeman
ámákúrúḅọ́,woman
ámákúrúḅọ́,security
ámákúu,heart
ámákúu,centre
ámámíémíénye,tradition
ámámíénye,custom
ámánakóróḅọ́,aborigine
ámánẹ́ngíá,scorpion
ámányánáḅọ́,king
ámányánáḅọ́ wárị,palace
